0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:00:43 +0700] "GET /spring-mvc-hibernate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:00:43 +0700] "GET /spring-mvc-hibernate/login HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:00:43 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:00:43 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:03:42 +0700] "GET /spring-mvc-hibernate/login HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:03:42 +0700] "GET /spring-mvc-hibernate/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:03:42 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:03:42 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:03:42 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:43 +0700] "GET /spring-mvc-hibernate/login HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:43 +0700] "GET /spring-mvc-hibernate/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:43 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:43 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:43 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:54 +0700] "GET /spring-mvc-hibernate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:54 +0700] "GET /spring-mvc-hibernate/login HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:54 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:04:54 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:21 +0700] "GET /spring-mvc-hibernate/login HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:21 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:21 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:21 +0700] "GET /spring-mvc-hibernate/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:21 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:44 +0700] "GET /spring-mvc-hibernate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:44 +0700] "GET /spring-mvc-hibernate/login HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:44 +0700] "GET /spring-mvc-hibernate/resources/css/bootstrap.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Apr/2016:16:16:44 +0700] "GET /spring-mvc-hibernate/resources/css/login.js HTTP/1.1" 404 949
